label,state,area_type,match_text
Austin - Travis County,TX,county,"Travis County, TX"
Austin - city,TX,city,"Austin city, TX"
Austin-Round Rock-San Marcos MSA,TX,metro,"Austin-Round Rock-San Marcos, TX"
League City - Galveston County,TX,county,"Galveston County, TX"
League City - city,TX,city,"League City city, TX"
Houston-The Woodlands-Sugar Land MSA,TX,metro,"Houston-The Woodlands-Sugar Land, TX"
Abilene - Taylor County,TX,county,"Taylor County, TX"
Abilene - city,TX,city,"Abilene city, TX"
Abilene MSA,TX,metro,"Abilene, TX"
Little Rock - Pulaski County,AR,county,"Pulaski County, AR"
Little Rock - city,AR,city,"Little Rock city, AR"
Little Rock-North Little Rock-Conway MSA,AR,metro,"Little Rock-North Little Rock-Conway, AR"
Conway - Faulkner County,AR,county,"Faulkner County, AR"
Conway - city,AR,city,"Conway city, AR"
Oklahoma City - Oklahoma County,OK,county,"Oklahoma County, OK"
Oklahoma City - city,OK,city,"Oklahoma City city, OK"
Oklahoma City MSA,OK,metro,"Oklahoma City, OK"
Moore - Cleveland County,OK,county,"Cleveland County, OK"
Moore - city,OK,city,"Moore city, OK"
